pair_id,algo,x,y
20,RRT,24.98,59.03
20,RRT,23.8,56.27
20,RRT,23.32,53.31
20,RRT,24.14,50.42
20,RRT,23.74,47.45
20,RRT,22.14,44.91
20,RRT,21.78,42.64
20,RRT,22.21,40.49
20,RRT,20.77,37.85
20,RRT,18.03,39.08
20,RRT,17.86,41.33
20,RRT,14.9,41.8
20,RRT,12.3,43.29
20,RRT,9.93,41.44
20,RRT,7.79,39.34
20,RRT,7.19,36.4
20,RRT,6.83,33.42
20,RRT,6.47,30.44
20,RRT,6.11,27.47
20,RRT,7.13,24.65
20,RRT,6.5,21.71
20,RRT,5.88,18.78
20,RRT,5.25,15.84
20,RRT,8.11,14.95
20,RRT,8.84,12.04
20,RRT,6.08,10.88
20,RRT,4.0,10.0
21,RRT,27.0,94.0
21,RRT,27.64,91.07
21,RRT,30.2,89.5
21,RRT,32.45,87.52
21,RRT,32.7,84.53
21,RRT,33.89,81.78
21,RRT,35.86,79.52
21,RRT,38.82,78.98
21,RRT,41.77,78.45
21,RRT,44.75,78.15
21,RRT,47.75,78.34
21,RRT,50.62,79.19
21,RRT,52.57,81.48
21,RRT,55.54,81.88
21,RRT,58.39,80.93
21,RRT,61.23,79.98
21,RRT,61.81,77.03
21,RRT,63.13,74.34
21,RRT,63.95,71.45
21,RRT,63.73,68.46
21,RRT,64.16,65.49
21,RRT,65.9,63.04
21,RRT,68.83,63.67
21,RRT,71.76,64.29
21,RRT,73.88,66.41
21,RRT,76.86,66.79
21,RRT,79.78,66.1
21,RRT,82.72,66.7
21,RRT,85.25,68.3
21,RRT,88.24,68.54
21,RRT,89.53,65.83
21,RRT,91.98,67.57
21,RRT,94.0,69.0
22,RRT,8.0,96.0
22,RRT,10.93,95.34
22,RRT,13.85,94.67
22,RRT,15.42,92.11
22,RRT,16.69,89.4
22,RRT,18.87,87.34
22,RRT,21.74,86.48
22,RRT,24.41,85.11
22,RRT,27.1,86.43
22,RRT,30.01,87.16
22,RRT,33.01,87.03
22,RRT,35.93,87.73
22,RRT,37.31,85.07
22,RRT,40.3,85.24
22,RRT,43.2,86.01
22,RRT,46.12,86.72
22,RRT,48.87,87.91
22,RRT,50.14,85.2
22,RRT,53.06,85.88
22,RRT,56.01,85.3
22,RRT,58.52,86.94
22,RRT,60.93,88.73
22,RRT,63.66,89.97
22,RRT,65.41,87.53
22,RRT,67.35,85.24
22,RRT,68.82,82.63
22,RRT,67.81,79.8
22,RRT,67.91,76.8
22,RRT,68.21,73.82
22,RRT,69.68,71.2
22,RRT,70.57,68.33
22,RRT,72.31,65.89
22,RRT,73.03,62.98
22,RRT,73.79,60.08
22,RRT,72.81,57.24
22,RRT,74.13,54.55
22,RRT,74.4,51.56
22,RRT,71.55,50.65
22,RRT,69.21,48.76
22,RRT,66.76,47.04
22,RRT,63.95,48.1
22,RRT,60.95,48.11
22,RRT,57.98,47.72
22,RRT,55.06,47.01
22,RRT,54.11,49.85
22,RRT,51.14,50.32
22,RRT,48.3,49.35
22,RRT,46.37,47.06
22,RRT,45.14,44.32
22,RRT,43.31,41.95
22,RRT,40.74,40.4
22,RRT,37.75,40.7
22,RRT,34.8,40.17
22,RRT,32.18,38.7
22,RRT,29.21,38.28
22,RRT,26.57,36.87
22,RRT,24.85,34.41
22,RRT,24.15,31.49
22,RRT,21.21,32.06
22,RRT,18.26,32.63
22,RRT,15.32,33.2
22,RRT,12.37,33.77
22,RRT,9.45,33.07
22,RRT,6.93,34.7
22,RRT,6.0,35.0
23,RRT,6.0,86.0
23,RRT,8.01,83.77
23,RRT,8.99,80.94
23,RRT,11.91,81.62
23,RRT,14.37,79.91
23,RRT,16.87,78.25
23,RRT,19.87,78.39
23,RRT,22.87,78.4
23,RRT,25.86,78.56
23,RRT,28.83,78.99
23,RRT,31.1,77.03
23,RRT,33.73,75.59
23,RRT,36.4,76.98
23,RRT,39.06,78.36
23,RRT,41.72,76.99
23,RRT,44.28,75.42
23,RRT,46.72,77.17
23,RRT,49.72,77.06
23,RRT,51.77,74.87
23,RRT,54.51,73.65
23,RRT,57.51,73.5
23,RRT,60.38,74.38
23,RRT,63.05,73.01
23,RRT,65.77,74.27
23,RRT,67.11,76.95
23,RRT,69.45,78.83
23,RRT,70.35,81.69
23,RRT,73.12,82.86
23,RRT,73.09,85.86
23,RRT,73.06,88.86
23,RRT,73.04,91.86
23,RRT,73.01,94.86
23,RRT,73.0,96.0
24,RRT,21.0,21.0
24,RRT,22.08,23.8
24,RRT,24.0,26.1
24,RRT,25.33,28.79
24,RRT,28.22,27.99
24,RRT,31.21,28.24
24,RRT,31.38,31.23
24,RRT,30.38,34.06
24,RRT,29.41,36.9
24,RRT,31.52,39.03
24,RRT,32.91,41.69
24,RRT,33.93,44.51
24,RRT,36.1,46.59
24,RRT,38.99,47.36
24,RRT,40.52,49.95
24,RRT,43.41,49.15
24,RRT,46.12,47.87
24,RRT,49.11,48.12
24,RRT,51.07,50.39
24,RRT,54.05,50.71
24,RRT,57.05,50.83
24,RRT,59.86,51.9
24,RRT,62.7,52.86
24,RRT,65.52,51.83
24,RRT,67.85,49.94
24,RRT,69.92,52.11
24,RRT,72.41,53.79
24,RRT,75.0,52.27
